Date,Home Team,Away Team,Result,Overtime,Season
06/12/2015 06:00,Detroit Pistons,Los Angeles Lakers,111 - 91,,2015-2016
06/12/2015 06:00,Washington Wizards,Dallas Mavericks,104 - 116,,2015-2016
06/12/2015 07:00,Oklahoma City Thunder,Sacramento Kings,98 - 95,,2015-2016
07/12/2015 07:00,Charlotte Hornets,Detroit Pistons,104 - 84,,2015-2016
07/12/2015 07:00,Philadelphia 76ers,San Antonio Spurs,68 - 119,,2015-2016
07/12/2015 07:30,Miami Heat,Washington Wizards,103 - 114,,2015-2016
07/12/2015 07:30,New York Knicks,Dallas Mavericks,97 - 104,,2015-2016
07/12/2015 07:30,Toronto Raptors,Los Angeles Lakers,102 - 93,,2015-2016
07/12/2015 08:00,Chicago Bulls,Phoenix Suns,101 - 103,,2015-2016
07/12/2015 08:00,Milwaukee Bucks,Portland Trail Blazers,90 - 88,,2015-2016
07/12/2015 08:00,Minnesota Timberwolves,Los Angeles Clippers,106 - 110,,2015-2016
07/12/2015 08:00,New Orleans Pelicans,Boston Celtics,93 - 111,,2015-2016
08/12/2015 07:00,Cleveland Cavaliers,Portland Trail Blazers,105 - 100,,2015-2016
08/12/2015 07:00,Indiana Pacers,Golden State Warriors,123 - 131,,2015-2016
08/12/2015 07:30,Brooklyn Nets,Houston Rockets,110 - 105,,2015-2016
08/12/2015 08:00,Memphis Grizzlies,Oklahoma City Thunder,88 - 125,,2015-2016
08/12/2015 09:00,Denver Nuggets,Orlando Magic,74 - 85,,2015-2016
08/12/2015 10:00,Sacramento Kings,Utah Jazz,114 - 106,,2015-2016
09/12/2015 07:00,Boston Celtics,Chicago Bulls,105 - 100,,2015-2016
