Date,Home Team,Away Team,Result,Overtime,Season
06/12/2005 07:00,Washington Wizards,Toronto Raptors,119 - 111,OT,2005-2006
06/12/2005 08:00,Memphis Grizzlies,New Orleans/Oklahoma City Hornets,89 - 73,,2005-2006
06/12/2005 08:00,Milwaukee Bucks,Los Angeles Lakers,92 - 111,,2005-2006
06/12/2005 08:30,Houston Rockets,Boston Celtics,91 - 73,,2005-2006
06/12/2005 09:00,Denver Nuggets,Atlanta Hawks,125 - 116,,2005-2006
06/12/2005 09:00,Phoenix Suns,Portland Trail Blazers,130 - 85,,2005-2006
06/12/2005 10:00,Sacramento Kings,Cleveland Cavaliers,97 - 102,,2005-2006
06/12/2005 10:00,Seattle SuperSonics,New York Knicks,101 - 104,,2005-2006
07/12/2005 07:00,Orlando Magic,Chicago Bulls,93 - 102,,2005-2006
07/12/2005 07:00,Philadelphia 76ers,Milwaukee Bucks,85 - 88,,2005-2006
07/12/2005 07:00,Toronto Raptors,Los Angeles Lakers,91 - 102,,2005-2006
07/12/2005 07:30,Charlotte Bobcats,New Jersey Nets,84 - 97,,2005-2006
07/12/2005 08:00,New Orleans/Oklahoma City Hornets,Boston Celtics,87 - 101,,2005-2006
07/12/2005 09:00,San Antonio Spurs,Miami Heat,98 - 84,,2005-2006
07/12/2005 09:00,Utah Jazz,Atlanta Hawks,95 - 83,,2005-2006
07/12/2005 10:00,Portland Trail Blazers,Minnesota Timberwolves,74 - 84,,2005-2006
07/12/2005 10:30,Golden State Warriors,Phoenix Suns,110 - 118,,2005-2006
07/12/2005 10:30,Los Angeles Clippers,New York Knicks,84 - 79,,2005-2006
08/12/2005 08:00,Indiana Pacers,Washington Wizards,111 - 87,,2005-2006
08/12/2005 10:30,Sacramento Kings,Houston Rockets,95 - 106,,2005-2006
09/12/2005 07:00,Philadelphia 76ers,Charlotte Bobcats,119 - 115,,2005-2006
09/12/2005 07:30,Cleveland Cavaliers,New Jersey Nets,100 - 109,,2005-2006
09/12/2005 07:30,Miami Heat,Denver Nuggets,92 - 100,,2005-2006
09/12/2005 08:00,Memphis Grizzlies,Dallas Mavericks,83 - 90,,2005-2006
09/12/2005 08:30,Chicago Bulls,Los Angeles Lakers,80 - 93,,2005-2006
09/12/2005 08:30,San Antonio Spurs,Boston Celtics,101 - 89,,2005-2006
09/12/2005 09:00,Utah Jazz,Seattle SuperSonics,90 - 106,,2005-2006
09/12/2005 10:00,Phoenix Suns,New York Knicks,85 - 81,,2005-2006
09/12/2005 10:00,Portland Trail Blazers,New Orleans/Oklahoma City Hornets,98 - 95,OT,2005-2006
09/12/2005 10:30,Golden State Warriors,Detroit Pistons,103 - 106,,2005-2006
10/12/2005 07:00,Atlanta Hawks,San Antonio Spurs,94 - 84,,2005-2006
10/12/2005 07:00,Orlando Magic,Denver Nuggets,94 - 83,,2005-2006
10/12/2005 07:00,Washington Wizards,Chicago Bulls,111 - 118,,2005-2006
10/12/2005 07:30,Charlotte Bobcats,Toronto Raptors,103 - 111,,2005-2006
10/12/2005 07:30,New Jersey Nets,Philadelphia 76ers,95 - 107,,2005-2006
10/12/2005 08:00,Indiana Pacers,Memphis Grizzlies,80 - 66,,2005-2006
10/12/2005 08:00,Minnesota Timberwolves,Los Angeles Lakers,95 - 82,,2005-2006
10/12/2005 08:30,Dallas Mavericks,Boston Celtics,103 - 94,,2005-2006
10/12/2005 08:30,Milwaukee Bucks,Cleveland Cavaliers,111 - 106,,2005-2006
10/12/2005 10:00,Seattle SuperSonics,Sacramento Kings,104 - 123,,2005-2006
10/12/2005 10:30,Los Angeles Clippers,Phoenix Suns,101 - 91,,2005-2006
11/12/2005 06:00,Miami Heat,Washington Wizards,104 - 101,OT,2005-2006
